Name,Coordinates,Country,Description
GRAIL A,                  Longitude: 333.41°                   Latitude: 75.61°                   Elevation: 769 m                ,United States,"The GRAIL-A spacecraft (Gravity Recovery and Interior Laboratory), named ""Ebb"",  was one of two spacecraft launched as part of a NASA Discovery mission on 10 September 2011. The goal of the GRAIL mission was to map the Moon's gravity field in unprecedented detail in order to understand the structure of the lunar interior, place limits on the size of the Moon's core, and determine the subsurface structure of the lunar crust. Following a primary science mission and a subsequent extended mission, Ebb was intentionally guided to an impact at the Sally K. Ride Impact Site on 17 December 2012. The crater resulting from the GRAIL A impact is 6 meters in diameter."
GRAIL B,                  Longitude: 333.17°                   Latitude: 75.65°                   Elevation: 1051 m                ,United States,"The GRAIL-B spacecraft (Gravity Recovery and Interior Laboratory), named ""Flow"",  was one of two spacecraft launched as part of a NASA Discovery mission on 10 September 2011. The goal of the GRAIL mission was to map the Moon's gravity field in unprecedented detail in order to understand the structure of the lunar interior, place limits on the size of the Moon's core, and determine the subsurface structure of the lunar crust. Following a primary science mission and a subsequent extended mission, Flow was intentionally guided to an impact at the Sally K. Ride Impact Site on 17 December 2012. The crater resulting from the GRAIL B impact is 6 meters in diameter."
LADEE,                  Longitude: 266.75°                   Latitude: 11.85°                   Elevation: 2853 m                ,United States,"The Lunar Atmosphere and Dust Environment Explorer (LADEE) launched on 7 September 2013 and reached lunar orbit on 9 October 2013. LADEE's mission was to characterize the Moon's tenuous surface bound exosphere and dust environment from orbit. After completing 30 days of commissioning phase science operations, LADEE successfully performed a 100 day primary mission and a 28 day extended mission. LADEE unceremoniously impacted the farside on 18 April 2014."
Chang'e 3 Landing Site,                  Longitude: 340.49°                   Latitude: 44.12°                   Elevation: -2630 m                ,China,"Chang'e 3 launched on 1 December 2013 and successfully landed in Mare Imbrium on 14 December 2013. The Chang'e 3 spacecraft is equipped with a suite of instruments to study the surface and acquire astronomical observations.  Chang'e 3 also carried the Yutu rover, which was successfully deployed several hours after landing and was fully operational for only a month."
Chang'e 4 Landing Site,                  Longitude: 177.59°                   Latitude: -45.46°                   Elevation: -5930 m                ,China,"Chang'e 4 launched on 7 December 2018 and successfully landed in Von Kármán crater in the South Pole-Aitken Basin on 3 January 2019. The Chang'e 4 lander is the first spacecraft to complete a soft landing on the lunar farside. Therefore, its launch was preceded by the Queqiao relay satellite to help with communication to Earth. The Yutu-2 rover was carried onboard the Chang'e 4 lander and was successfully deployed shortly after landing. The relay satellite, lander, and rover were equipped with scientific payloads to study the surface and acquire astronomical observations."
17 March 2013 Event,                  Longitude: 335.67°                   Latitude: 20.71°                   Elevation: -1540 m                ,Natural Event,"A team of Marshall Space Flight Center scientists monitors the Moon for flashes of light caused by meteoroids impacting the surface. Their brightest recorded flash was captured on 17 March 2013, this event was so bright that an observer on the Earth could spot it without a telescope! According to the Marshall Space Flight Center team, the meteor involved in the March 17th event weighed 40 kg, was 0.3 - 0.4 meters in diameter, and was traveling at an approximate speed of 56,000 mph. A LROC NAC image acquired on 28 July 2013 revealed a new 18-meter (59 feet) diameter crater that corresponds to the location of the bright flash. We are certain it is the correct crater because it does not appear in the “before” NAC image (10 March 2012)."
New Crater 260,                  Longitude: 319.50°                   Latitude: -54.14°                   Elevation: -1113 m                ,Natural Event,"The impact that created New Crater 260 occurred between 24 October 2010 and 28 March 2013, based on analysis of LROC image data.  The resulting crater is 5 meters across."
New Crater 278,                  Longitude: 125.41°                   Latitude: 4.40°                   Elevation: -1770 m                ,Natural Event,"The impact that created New Crater 278 occurred between 31 May 2011 and 24 November 2011, based on analysis of LROC image data.  The resulting crater is 2 meters across."
New Crater 572,                  Longitude: 30.54°                   Latitude: 19.69°                   Elevation: -2413 m                ,Natural Event,"The impact that created New Crater 572 occurred between 25 August 2010 and 8 February 2012, based on analysis of LROC image data.  The resulting crater is 7 meters across."
Apollo 11,                  Longitude: 23.47°                   Latitude: 0.67°                   Elevation: -1929 m                ,United States,"Astronauts Neil Armstrong and ""Buzz"" Aldrin landed the Apollo 11 Lunar Module (LM) in Mare Tranquillitatis [0.67416° N, 23.47314° E], at 20:17:40 UTC 20 July 1969. They spent a total of 21.5 hours on the lunar surface, performing one Extra-Vehicular Activity (EVA) and collecting 21.5 kg of lunar samples. Astronaut Michael Collins orbited the Moon in the Lunar Command Module (LCM), awaiting the return of Armstrong and Aldrin from the surface. Apollo 11 was the first lunar landing, however it was the fifth manned Apollo mission, earlier missions laying the ground-work for Apollo 11."
Apollo 12,                  Longitude: 336.58°                   Latitude: -3.01°                   Elevation: -1424 m                ,United States,"Astronauts Pete Conrad and Alan Bean landed the Apollo 12 Lunar Excursion Module (LEM) in Oceanus Procellarum, demonstrating precision landing by setting down the LEM near the Surveyor 3 lunar probe [3.0128° S, 336.57810° E]. Conrad and Bean landed at 06:54:35 UTC on 19 November 1969, and stayed for 1 day and 7.5 hours, during which they performed two Extra-Vehicular Activities (EVA) totaling 7.75 hours and collecting 35.34 kg of lunar samples."
